FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
149,,Falcon 9,3681.0,MEO,CCSFS SLC 40,True ASDS,11.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
150,,Falcon 9,6515.048089171974,SSO,KSC LC 39A,True ASDS,4.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,6.0,B1052,-80.6039558,28.6080585
151,,Falcon 9,6515.048089171974,ISS,CCSFS SLC 40,True ASDS,12.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1051,-80.577366,28.5618571
152,,Falcon 9,15600.0,PO,KSC LC 39A,True ASDS,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1061,-80.6039558,28.6080585
153,,Falcon 9,6515.048089171974,LEO,VAFB SLC 4E,True ASDS,5.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,8.0,B1062,-120.610829,34.632093
154,,Falcon 9,12519.0,ISS,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,3.0,B1071,-80.577366,28.5618571
155,,Falcon 9,13260.0,LEO,KSC LC 39A,True ASDS,12.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.6039558,28.6080585
156,,Falcon 9,670.0,TLI,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,5.0,B1067,-80.577366,28.5618571
157,,Falcon 9,13260.0,PO,CCSFS SLC 40,True ASDS,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8.0,B1062,-80.577366,28.5618571
158,,Falcon 9,330.0,LEO,KSC LC 39A,True ASDS,12.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,13.0,B1058,-80.6039558,28.6080585
159,,Falcon 9,13260.0,PO,VAFB SLC 4E,True ASDS,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,-120.610829,34.632093
160,,Falcon 9,3500.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,2.0,B1073,-80.577366,28.5618571
161,,Falcon 9,6515.048089171974,ISS,CCSFS SLC 40,True ASDS,5.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,6.0,B1052,-80.577366,28.5618571
162,,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True RTLS,8.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,9.0,B1061,-80.577366,28.5618571
163,,Falcon 9,6515.048089171974,LEO,VAFB SLC 4E,True ASDS,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8.0,B1062,-120.610829,34.632093
164,,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,13.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,12.0,B1060,-80.6039558,28.6080585
165,,Falcon 9,2240.0,SSO,CCSFS SLC 40,True RTLS,3.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,3.0,B1071,-80.577366,28.5618571
166,,Falcon 9,6515.048089171974,LEO,VAFB SLC 4E,True ASDS,9.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1061,-120.610829,34.632093
167,,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,2.0,B1073,-80.577366,28.5618571
168,,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,13.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13.0,B1058,-80.577366,28.5618571
169,,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,-80.6039558,28.6080585
170,,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True ASDS,5.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,5.0,B1067,-120.610829,34.632093
171,,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,13.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1051,-80.577366,28.5618571
172,,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1071,-80.6039558,28.6080585
173,,Falcon 9,6515.048089171974,SSO,VAFB SLC 4E,True ASDS,8.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,8.0,B1062,-120.610829,34.632093
174,,Falcon 9,6515.048089171974,ISS,CCSFS SLC 40,True ASDS,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,6.0,B1052,-80.577366,28.5618571
175,,Falcon 9,6515.048089171974,LEO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,2.0,B1073,-80.6039558,28.6080585
176,,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,10.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1061,-80.577366,28.5618571
177,,Falcon 9,6515.048089171974,ISS,CCSFS SLC 40,True ASDS,9.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,8.0,B1062,-80.577366,28.5618571
178,,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,1.0,B1069,-80.6039558,28.6080585
179,,Falcon 9,13260.0,VLEO,,True ASDS,7.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,,
